city,avg_temp_max,total_precip,peak_wind_gust,high_risk_days
Ad Dakhla,22.3,0.0,48.6,0
Ad Darwa,31.7,0.0,40.3,0
Agadir,34.6,0.2,47.9,0
Aguelmous,31.5,0.4,43.6,0
Ain El Aouda,31.2,0.0,41.4,0
Ait Ali,32.5,0.5,44.6,0
Ait Melloul,33.5,0.3,40.0,0
Ait Ourir,33.9,0.9,36.0,0
Al Aaroui,28.6,0.0,43.6,0
Al Fqih Ben Çalah,37.1,0.0,46.1,0
Al Hoceïma,27.1,0.0,32.4,0
Al Khmissat,33.9,0.0,39.6,0
Al ’Attawia,34.0,0.6,36.4,0
Arfoud,35.0,0.2,41.0,0
Asilah,31.0,0.0,49.0,0
Azemmour,27.8,0.0,36.7,0
Aziylal,28.1,10.5,45.7,0
Azrou,28.4,0.3,49.3,0
Aïn Harrouda,28.3,0.0,40.7,0
Aïn Taoujdat,33.5,0.3,38.5,0
Barrechid,32.9,0.0,41.0,0
Ben Guerir,34.5,0.9,48.6,0
Beni Yakhlef,29.8,0.0,38.5,0
Berkane,27.8,0.0,39.2,0
Biougra,33.8,0.8,55.1,0
Bir Jdid,28.5,0.0,41.4,0
Bou Arfa,31.3,0.2,33.8,0
Boujad,34.6,0.3,41.8,0
Bouknadel,27.9,0.0,36.7,0
Bouskoura,29.7,0.0,42.8,0
Béni Mellal,34.6,0.6,45.0,0
Cabo Bojador,28.6,0.0,58.3,0
Casablanca,28.2,0.0,38.5,0
Chichaoua,35.4,0.9,49.3,0
Demnat,31.1,0.6,39.6,0
Douar Toulal,33.2,0.0,41.0,0
El Aïoun,30.9,0.0,36.7,0
El Hajeb,31.0,0.0,42.1,0
El Jadid,26.7,0.0,35.6,0
El Kelaa des Srarhna,35.1,0.6,38.2,0
Errachidia,33.3,0.1,43.2,0
Essaouira,28.6,0.0,66.2,0
Fnidq,26.5,0.0,53.6,0
Fès,34.4,0.0,41.0,0
Guelmim,33.3,0.3,54.7,0
Guercif,32.3,0.0,52.6,0
Imi-n-Tanout,31.0,2.4,43.6,0
Imzouren,28.3,0.0,30.2,0
Inezgane,33.1,0.3,41.0,0
Jerada,30.0,0.0,49.3,0
Kenitra,29.7,0.0,40.0,0
Khénifra,33.8,0.0,51.5,0
Kouribga,33.0,0.3,52.9,0
Ksar El Kebir,34.1,0.0,46.1,0
Larache,30.4,0.0,48.6,0
Laâyoune,33.6,0.2,57.2,0
Lqoliaa,33.4,0.3,49.3,0
Marrakech,35.5,0.3,38.9,0
Martil,26.5,0.0,41.4,0
Mechraa Bel Ksiri,34.3,0.0,37.1,0
Mediouna,30.3,0.0,37.4,0
Mehdya,29.0,0.0,37.4,0
Meknès,32.9,0.6,42.1,0
Midalt,28.8,0.1,51.1,0
Missour,33.4,0.1,56.9,0
Mohammedia,28.2,0.0,38.5,0
Moulay Abdallah,28.0,0.0,36.7,0
Moulay Bousselham,29.0,0.0,46.1,0
Mrirt,31.8,0.3,46.8,0
My Drarga,34.0,0.3,40.3,0
M’diq,26.8,0.0,62.3,0
Nador,27.0,0.8,33.8,0
Oued Zem,33.6,0.0,45.0,0
Ouezzane,34.3,0.0,36.7,0
Oujda-Angad,30.1,0.0,42.1,0
Oulad Barhil,35.9,0.6,63.7,0
Oulad Tayeb,33.9,0.0,41.0,0
Oulad Teïma,35.8,0.0,51.5,0
Oulad Yaïch,36.2,0.6,52.2,0
Qasbat Tadla,36.4,0.3,45.4,0
Rabat,28.2,0.0,39.2,0
Safi,30.4,0.0,50.0,0
Sale,28.2,0.0,39.2,0
Sebt Gzoula,33.9,0.0,45.4,0
Sefrou,31.2,0.9,42.1,0
Semara,35.2,11.4,61.2,1
Settat,33.4,0.3,49.7,0
Sidi Bennour,34.1,0.0,44.6,0
Sidi Lmokhtar,35.1,2.4,46.1,0
Sidi Qacem,34.9,0.0,38.9,0
Sidi Slimane,34.7,0.0,39.2,0
Sidi Smai’il,32.4,0.0,38.5,0
Sidi Yahia El Gharb,32.4,0.0,38.2,0
Sidi Yahya Zaer,31.4,0.0,43.9,0
Skhirate,26.6,0.0,36.7,0
Souk et Tnine Jorf el Mellah,35.5,0.0,36.4,0
Souq Sebt Oulad Nemma,37.2,0.0,45.4,0
Tabount,33.0,0.1,65.5,0
Tahannawt,31.4,0.9,41.0,0
Tahla,33.3,0.0,41.0,0
Tameslouht,34.9,0.6,40.3,0
Tan-Tan,30.8,1.0,52.9,0
Tangier,27.8,0.0,65.5,0
Taourirt,31.4,0.0,48.6,0
Taroudannt,37.3,0.0,56.9,0
Taza,31.4,0.0,50.4,0
Temara,27.7,0.0,41.0,0
Temsia,34.3,0.2,50.0,0
Tifariti,34.1,7.3,52.6,0
Tiflet,33.0,0.0,39.6,0
Tineghir,31.0,2.8,50.8,0
Tit Mellil,28.7,0.0,41.8,0
Tiznit,30.9,0.1,46.4,0
Tétouan,28.1,0.0,62.3,0
Warzat,32.8,0.1,59.0,0
Youssoufia,34.5,0.6,49.3,0
Zagora,36.3,0.1,39.6,0
Zawyat ech Cheïkh,34.2,0.3,46.1,0
Zaïo,29.4,0.0,36.0,0
Zeghanghane,27.9,0.0,40.0,0
